# DM3 live routing snapshot - 2026-08-28 - firmware V3.00 - 192.168.128.9
# Read-only, via tools/rcp-probe.js. See PLAN.md 2.2-2.4.

OK get MIXER:Current/InCh/ToMix/On 14 0 1
OK get MIXER:Current/InCh/ToMix/On 14 1 1
OK get MIXER:Current/InCh/ToMix/On 14 2 0
OK get MIXER:Current/InCh/ToMix/On 14 3 0
OK get MIXER:Current/InCh/ToMix/On 14 4 0
OK get MIXER:Current/InCh/ToMix/On 14 5 0
OK get MIXER:Current/InCh/ToSt/On 14 0 1
OK get MIXER:Current/InCh/Fader/On 14 0 0
OK get MIXER:Current/InCh/ToMix/On 15 0 1
OK get MIXER:Current/InCh/ToMix/On 15 1 1
OK get MIXER:Current/InCh/ToMix/On 15 2 0
OK get MIXER:Current/InCh/ToMix/On 15 3 0
OK get MIXER:Current/InCh/ToMix/On 15 4 0
OK get MIXER:Current/InCh/ToMix/On 15 5 0
OK get MIXER:Current/InCh/ToSt/On 15 0 1
OK get MIXER:Current/InCh/Fader/On 15 0 0
OK get MIXER:Current/St/Label/Name 0 0 " STREAM"
OK get MIXER:Current/St/Fader/On 0 0 1
OK get MIXER:Current/St/Fader/Level 0 0 270
OK get MIXER:Current/Monitor/Fader/Level 0 0 -32768
OK get MIXER:Current/Monitor/On 0 0 0
OK get MIXER:Current/Monitor/St/SourceCh/St 0 0 1
OK get MIXER:Current/Cue/ActiveCue 0 0 "NONE"
